id,question_en,answer_en,question_te,answer_te
faq15,How can I stay updated on official announcements?,"Listen to radio, follow government SMS alerts, or check official websites and verified social media accounts.",ప్రభుత్వ ప్రకటనలను ఎలా తెలుసుకోవాలి?,"రేడియో వినండి, ప్రభుత్వ SMS హెచ్చరికలను పరిశీలించండి, లేదా అధికారిక వెబ్‌సైట్లను చూడండి."
faq16,How can I use the navigation feature?,"Open the app, go to 'Navigation', and choose your destination. The app shows safe routes and avoids blocked areas.",నావిగేషన్ ఆప్షన్‌ను ఎలా ఉపయోగించాలి?,"యాప్‌ను తెరచి, 'నావిగేషన్' విభాగంలో గమ్యస్థానం ఎంచుకోండి. యాప్ సురక్షిత మార్గాలను చూపుతుంది."
faq17,Can I use the app offline?,"Yes! The app is designed to work completely offline. All key features like Q&A, language support, and emergency guidance are offline.",యాప్ ఇంటర్నెట్ లేకుండా పనిచేస్తుందా?,"అవును! ఈ యాప్ పూర్తిగా ఆఫ్‌లైన్‌లో పనిచేస్తుంది. ప్రధాన ఫీచర్లు ఇంటర్నెట్ లేకుండానే అందుబాటులో ఉంటాయి."
faq18,How do I check if a news message is real or fake?,"Go to the 'Fake News Detection' section and paste the message. The system verifies it using local fact-check data.",న్యూస్ నకిలీదా నిజమా ఎలా తెలుసుకోవాలి?,"'Fake News Detection' విభాగంలో సందేశం పేస్ట్ చేయండి. సిస్టమ్ అది నిజమో కాదో చెక్ చేస్తుంది."
faq19,How can I enable voice input?,"Tap the microphone icon 🎙️ and speak clearly. The app automatically converts your voice into text.",వాయిస్ ఇన్‌పుట్‌ను ఎలా ప్రారంభించాలి?,"మైక్ బటన్ 🎙️ నొక్కి స్పష్టంగా మాట్లాడండి. యాప్ మీ మాటలను ఆటోమేటిక్‌గా టెక్స్ట్‌గా మార్చుతుంది."
faq20,How can I change the language?,"The app automatically detects your language. You can also change it from the settings page.",భాషను ఎలా మార్చాలి?,"యాప్ మీ భాషను ఆటోమేటిక్‌గా గుర్తిస్తుంది. సెట్టింగ్స్‌లో మీరు భాషను మార్చవచ్చు."
faq21,What is the fake news detection feature?,"It allows users to verify the authenticity of viral messages and alerts using AI and verified databases.",ఫేక్ న్యూస్ డిటెక్షన్ అంటే ఏమిటి?,"ఇది AI ద్వారా వార్తల నిజతను పరీక్షించే ఫీచర్."
faq22,How do I navigate safely during disasters?,"Use the navigation option to find safe routes to shelters or hospitals based on real-time disaster data.",విపత్తు సమయంలో సురక్షితంగా ఎలా ప్రయాణించాలి?,"నావిగేషన్ ఆప్షన్ ఉపయోగించి ఆశ్రయాలు లేదా ఆసుపత్రులకు సురక్షిత మార్గాలు కనుగొనండి."
faq23,Can I check safe zones on the map?,"Yes, the app highlights safe zones, shelters, and medical camps on the map.",మ్యాప్‌లో సురక్షిత ప్రాంతాలను చూడగలనా?,"అవును, మ్యాప్‌లో ఆశ్రయాలు మరియు వైద్య శిబిరాలు చూపబడతాయి."
faq24,How can I get alerts about nearby dangers?,"The app provides offline alerts for flood, fire, or earthquake-prone areas.",సమీప ప్రమాదాల గురించి అలర్ట్‌లు ఎలా వస్తాయి?,"యాప్ వరద, అగ్ని లేదా భూకంప ప్రాంతాల గురించి అలర్ట్‌లు ఇస్తుంది."
faq25,How can I contribute to relief work?,"You can volunteer through NGOs listed in the app or offer supplies to local shelters.",రిలీఫ్ పనుల్లో నేను ఎలా సహాయం చేయగలను?,"యాప్‌లో ఉన్న ఎన్‌జీఓల ద్వారా సేవ చేయండి లేదా సరఫరాలు ఇవ్వండి."
